Open,High,Low,Close,Adj Close,Volume
194.899994,196,194.050003,195.050003,164.633408,13847
195,199.800003,192.100006,194.850006,164.464584,16159
190,195,190,194.399994,164.084702,313020
195,196.800003,193.100006,194.899994,164.50676,30656
199,199,193.25,194.300003,164.000366,73675
194.649994,194.949997,193,194.5,164.169159,23586
195.100006,195.100006,192,194.100006,163.831512,96253
194.600006,196,185,185.600006,156.657013,1075661
189,193.899994,172,192.600006,162.565445,61925
190,194,179.100006,190.75,161.003922,616358
191,191.899994,185,190.050003,160.413101,5556
190.899994,191.850006,185.75,186.949997,157.796494,7760
192,197.399994,178.25,188.149994,158.809341,118242
184.5,190.949997,183.5,185.100006,156.23497,17455
189.899994,189.899994,185,187.800003,158.513947,11889
184,191,183.100006,187.899994,158.598373,9967
191,191,183.5,188.300003,158.935989,7360
185.25,190,185.149994,189.800003,160.202072,913406
185.100006,193,185.100006,187.300003,158.091934,584286
186.5,192.800003,185.449997,191.100006,161.299347,14626
189.75,189.800003,182.5,185.850006,156.868073,736256
186.5,190,184,185.25,156.361603,13454
189.649994,193.800003,184.25,193.350006,163.198502,16994
188.149994,192,184.25,186.800003,157.669907,5133
181,189.75,181,185.300003,156.403854,1895
183.5,189,181.550003,183.949997,155.264297,15780
188,188,182,184.649994,155.855133,2870
179,188,179,185.449997,156.53038,7156
184.949997,187.199997,181.800003,183.949997,155.264297,687807
185,186.850006,182.600006,185.199997,156.319397,8546
183.050003,191.949997,183.050003,185.100006,156.23497,3086
185,186.75,182.350006,185.600006,156.657013,5403
184.949997,187,182.100006,184.800003,155.981796,6756
184,186,182.199997,184.899994,156.066193,16958
190,190,182.25,184.75,155.93959,75490
184.949997,185.899994,182.100006,184.449997,155.686325,35280
184,185.800003,181.5,184.5,155.728592,38501
184,185,182.199997,183,154.462479,84501
184.75,184.899994,182.149994,183,154.462479,39504
185,185.899994,182.550003,184.050003,155.348709,70201
185,185.25,182.649994,184.649994,155.855133,30130
184.5,186,183.25,184.699997,155.897385,19150
184.5,185.199997,182.399994,184.300003,155.559753,28917
184.5,185,182,184.399994,155.644165,29864
184.75,184.949997,181.600006,183.850006,155.179932,31506
184.5,185,183.800003,185,156.150589,8572
185,185,183.800003,184.800003,155.981796,8397
186,186,182.5,183.75,155.095505,29041
184.899994,185,183.800003,184.850006,156.023956,30321
185,185.850006,184.100006,185.050003,156.19281,6103
189,189,183.800003,184.5,155.728592,26722
184.75,185,183.699997,184.199997,155.475357,30896
184.5,185,183.5,184.149994,155.433121,6768
184.100006,185,183.800003,184.800003,155.981796,22702
184.5,185,181.100006,182.850006,154.335861,102272
184.5,185.800003,180,183.199997,154.631271,34851
184.800003,184.800003,182.5,183.949997,155.264297,29824
185,190,181.5,185.199997,156.319397,15066
185.25,218,185,186.699997,157.585495,176985
189.899994,224.050003,189,212.649994,179.488754,1841714
220,232.5,205.199997,215.800003,182.147568,134293
220,228.899994,216.149994,225.5,190.33493,76955
219.75,222,213,219.850006,185.565979,49911
221,222.899994,214,215.050003,181.514526,13207
212,217.899994,200,209.25,176.618973,8136850
216.300003,223,212.25,216.850006,183.033798,189071
218,218.25,207.149994,210.199997,177.420868,54665
209.100006,215,207,210,177.252029,48569
208.199997,227,208.199997,221.449997,186.916458,49823
221.449997,221.449997,221.449997,221.449997,186.916458,0
230,237.5,221,231.800003,195.652466,71287
237.5,248,229.5,230.050003,194.1754,13265
234,234,227,230,194.133148,175958
230,233.850006,229.5,231.550003,195.441483,11848
233,251.899994,230,243,205.105927,79815
245,247.899994,238.949997,245.5,207.216034,32901
244.899994,247.899994,242,245.25,207.005051,15622
249.949997,259.5,243.649994,255.199997,215.403412,84982
293.700012,293.700012,245.050003,250.399994,211.351974,224114
257.399994,264.899994,246.050003,253.050003,213.588669,45764
271.25,271.25,271.25,271.25,228.950546,10
289.5,308,271,289.350006,244.228012,10965678
300,307.799988,290.100006,302.5,255.327286,36583
305,310,286,300,253.217133,37527
296.100006,296.100006,288.049988,290.350006,245.072037,13445
290.100006,292,279,286.200012,241.569214,170025
300,320,286.600006,288.600006,243.59494,28967
299,301,294,299.100006,252.457596,32407
299,300,291,292.5,246.886734,21741
290,299.899994,287,288.25,243.299561,21544
300,342,291.549988,299.299988,252.626343,76855
300,300,292.100006,293.600006,247.815277,68876
295,298,286,292.549988,246.928986,53639
286.200012,296.899994,286,292.350006,246.760056,55070
290,297.950012,282,290.350006,245.072037,2529447
300,320,295,297.100006,250.769424,137890
298,302,294.5,299.5,252.795181,64583
303.899994,309.950012,291.149994,298.899994,252.288696,1004171
298,298.950012,287,290.200012,244.945419,41850
295,304.899994,286.200012,299.5,252.795181,92586
298,299.950012,293,296.350006,250.136322,17061
292,298,291.100006,294.75,248.785858,52196
295,297,289,290.200012,244.945419,276352
292.950012,294.950012,286,289.850006,244.649994,39369
